sequence_id,scene_family,level,geometry_seed,sensor_seed,process_seed,final_translation_error,final_axis_error,final_cross_error,mean_axis_error,mean_cross_error,axis_drift_rate,trajectory_path,motion_path
ST-L3-G03,ST,L3,303,11,1005,0.013307567184935771,0.012963974405383993,0.003004448701197621,0.015099291390950568,0.001587878563565393,0.0004321324801794664,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_011/process_1005.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_011/process_1005.npz
ST-L3-G03,ST,L3,303,22,1001,0.03269667878106649,0.03242473627396336,0.004208239641010042,0.014020302178393399,0.001729708322056097,0.0010808245424654452,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_022/process_1001.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_022/process_1001.npz
ST-L3-G03,ST,L3,303,22,1002,0.03272140759151405,0.032449538030160596,0.004209275044369789,0.014021409174831372,0.001729727546961421,0.0010816512676720198,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_022/process_1002.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_022/process_1002.npz
ST-L3-G03,ST,L3,303,22,1003,0.03272109147418464,0.032449241729416656,0.004209101857622744,0.014020732674214149,0.001729716170331788,0.0010816413909805552,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_022/process_1003.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_022/process_1003.npz
ST-L3-G03,ST,L3,303,22,1004,0.0326825795700225,0.03241051881547463,0.004208239235430513,0.014019540199997106,0.0017296959278981147,0.0010803506271824877,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_022/process_1004.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_022/process_1004.npz
ST-L3-G03,ST,L3,303,22,1005,0.032690164595816966,0.03241816179681578,0.004208283143644055,0.01402245334135985,0.0017297250703251625,0.0010806053932271927,results/metric_redesign_stage1/trajectories/ST-L3-G03/sensor_022/process_1005.tum,results/metric_redesign_stage1/motion/ST-L3-G03/sensor_022/process_1005.npz
ST-L4-G01,ST,L4,101,11,1001,0.08121075628023428,0.08104398862692364,0.0052018115158744315,0.030669320300332707,0.0016742068715048576,0.002701466287564121,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_011/process_1001.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_011/process_1001.npz
ST-L4-G01,ST,L4,101,11,1002,0.08077599595535907,0.08060826220395967,0.00520284412969213,0.030654669920149924,0.00167423482811798,0.002686942073465322,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_011/process_1002.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_011/process_1002.npz
ST-L4-G01,ST,L4,101,11,1003,0.08072387210501208,0.08055600175486788,0.005203278667923868,0.030640957682821348,0.001674230800374323,0.0026852000584955955,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_011/process_1003.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_011/process_1003.npz
ST-L4-G01,ST,L4,101,11,1004,0.08119425048180251,0.08102741553015846,0.0052023306127851835,0.03066322649634826,0.0016742435414701306,0.002700913851005282,results/metric_redesign_stage1/trajectories/ST-L4-G01/sensor_011/process_1004.tum,results/metric_redesign_stage1/motion/ST-L4-G01/sensor_011/process_1004.npz
