sequence_id,sensor_seed,window_start,window_end,overlapping,process_trial_count,axis_drift_rate_median,ODI_trans_median,lambda_min_trans_normalized_median
OC-L0-G03,11,20,30,False,5,7.50086481358994e-05,0.0644799337414026,124.86606287852737
OC-L0-G03,11,30,40,False,5,0.00012370883671660127,0.05632040969832741,129.42506594102858
OC-L0-G03,11,40,50,False,5,0.0002592977575562338,0.06354401867802051,124.81262788185478
OC-L0-G03,11,50,59,False,5,5.996460634873191e-06,0.063999736406128,125.0321654360676
OC-L0-G03,22,0,10,False,5,0.00013946333837775584,0.04920586292162987,134.08248533609918
OC-L0-G03,22,10,20,False,5,0.00017589995593992943,0.0641890150012121,124.45807338905684
OC-L0-G03,22,20,30,False,5,1.7576175896411706e-05,0.06302047757214901,125.40565215861113
OC-L0-G03,22,30,40,False,5,0.00026749260938355076,0.057391692615201384,128.94946875938155
OC-L0-G03,22,40,50,False,5,0.00013424717709474018,0.06598654890520761,123.87280084785986
OC-L0-G03,22,50,59,False,5,0.00022642547357621377,0.05848619935402677,128.05361405744958
ST-L1-G01,11,0,10,False,5,0.0012625712865950778,0.5399674713057298,9.307808295241218
ST-L1-G01,11,10,20,False,5,0.0011743273468311118,0.48012008421951746,4.176557257912439
ST-L1-G01,11,20,30,False,5,0.0016368470299072933,0.4674355767247924,3.662183590601621
ST-L1-G01,11,30,40,False,5,0.0009231342566143011,0.5384890550411869,8.544297579203521
ST-L1-G01,11,40,50,False,5,0.0005340851099694337,0.47359092939392844,7.185495037722192
ST-L1-G01,11,50,59,False,5,0.006742720382130811,0.4828812027544257,2.7393636356714417
ST-L1-G01,22,0,10,False,5,0.0014856156732491082,0.5480062274204311,9.259475629325275
ST-L1-G01,22,10,20,False,5,0.0012386025368401057,0.5020828452565567,4.12714247540048
ST-L1-G01,22,20,30,False,5,0.0016311318965740824,0.4671913376092298,3.7855094141015546
ST-L1-G01,22,30,40,False,5,0.0011122973032700826,0.5256304197460328,8.607002346111635
ST-L1-G01,22,40,50,False,5,0.0002841180399834598,0.47196875409805794,6.827959060479114
ST-L1-G01,22,50,59,False,5,0.0016159490334890893,0.4797416120899156,2.6755172108998226
ST-L1-G02,11,0,10,False,5,0.0017912836598985046,0.5739327305117319,4.992503666269181
ST-L1-G02,11,10,20,False,5,0.0005049528767375126,0.4638630319899093,5.983659461607934
ST-L1-G02,11,20,30,False,5,0.0019510682465559443,0.46536687414933087,4.505056835057098
ST-L1-G02,11,30,40,False,5,0.002341591999867482,0.5510629097123367,4.915368300311448
ST-L1-G02,11,40,50,False,5,0.00042150288330982343,0.4901153707916672,3.5268526943972756
ST-L1-G02,11,50,59,False,5,0.004762543370829012,0.48247158752815733,2.5239187149345494
ST-L1-G02,22,0,10,False,5,0.0014332311465854823,0.5790725116293892,4.924981969617949
ST-L1-G02,22,10,20,False,5,0.0012834260168463907,0.4876720157722776,5.886296626002961
ST-L1-G02,22,20,30,False,5,0.0012182209865977795,0.46483068021751617,4.480195790154525
ST-L1-G02,22,30,40,False,5,9.772523999422564e-05,0.5465127215263708,5.0580807186700305
ST-L1-G02,22,40,50,False,5,0.0009275452932802681,0.48592546986599205,3.242690632799081
ST-L1-G02,22,50,59,False,5,0.00032579865558699433,0.48334498008531424,2.4857214285773193
ST-L1-G03,11,0,10,False,5,0.0017191785799026173,0.5692229145243439,4.984312043249087
ST-L1-G03,11,10,20,False,5,0.0015690322335531125,0.45860186724500807,6.7456128590340505
ST-L1-G03,11,20,30,False,5,0.0027149447865130495,0.4658207132222292,4.313831906616292
ST-L1-G03,11,30,40,False,5,0.0018215726865629931,0.5430629189985313,6.240371217782995
