backend,backend_schema_name,condition,rotation_max_rad,rotation_median_rad,rotation_min_rad,scene_variant,translation_max_m,translation_median_m,translation_min_m,trial_count
PCL,pcl_point_to_plane,INDEPENDENT_NOISE_FREE,0.0005518900330287969,0.000300715248990371,4.533055894884845e-05,REPEATED_STRUCTURE,0.012703440790711132,0.011924943945291944,0.010832978224490019,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.00024265928271617206,0.0001901461876276982,8.94726963623297e-05,GEOMETRY_RICH_ROOM,0.0010718805479165796,0.000875151134750623,0.000690646459310411,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.0006152704167078088,0.0005513919726385574,0.00018382414410859492,LONG_CORRIDOR,0.11042560678932506,0.10138682791382841,0.003924015288865954,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.0008599252190652705,0.0005404318875710165,0.0002778830179628591,PARALLEL_WALLS,0.1676261117599474,0.0033317340948026764,0.0010186862211016541,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.0011066499480770864,0.0003809013533979456,9.841890482957957e-05,END_FACE_TRANSITION_PRESENT,0.0012093237304342936,0.0009216850343108852,0.00064814057293327,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.000891640763221177,0.0008814324005098913,0.0004613841847590741,END_FACE_TRANSITION_WEAK,0.008686908199372971,0.0032446795674519243,0.0022818988103959895,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.0012698163286806868,0.0009371286396582144,0.00023174291417282734,END_FACE_TRANSITION_ABSENT,0.14270585872988106,0.10927189878832588,0.08558009032896093,3
Open3D,open3d_point_to_plane,FULL_NOISE,0.0005401308082229385,0.0003024539493199016,1.1220085102010423e-05,REPEATED_STRUCTURE,0.013975455492363545,0.012316765966910406,0.010113413336699408,3
PCL,pcl_point_to_plane,FULL_NOISE,0.00024402522132729778,0.00019093576792115802,8.89001786105449e-05,GEOMETRY_RICH_ROOM,0.0010928786341043543,0.000888222638007706,0.0006923289848866538,3
PCL,pcl_point_to_plane,FULL_NOISE,0.0006259425847653013,0.0005688905356293932,0.0002294587883877733,LONG_CORRIDOR,0.10023363660854462,0.017109531094413155,0.004857989611826045,3
PCL,pcl_point_to_plane,FULL_NOISE,0.0008677382000494731,0.0005732002915027316,0.00028190403627445054,PARALLEL_WALLS,0.17124453432332953,0.0032259012650381483,0.00154562691165511,3
PCL,pcl_point_to_plane,FULL_NOISE,0.0011125750615659253,0.00041483819469765226,0.00010140735995349335,END_FACE_TRANSITION_PRESENT,0.0011831453949923975,0.0009272910428723053,0.0006729872660267815,3
PCL,pcl_point_to_plane,FULL_NOISE,0.0008886668885576744,0.0008873755809711436,0.00047583966340610586,END_FACE_TRANSITION_WEAK,0.005881402759312936,0.002018154062315402,0.0012246245180009836,3
