lag_seconds,formal_lag,lag_selected_from_statistics,overlap_count,trajectory_position_consistency_rmse_m,future_growth_count,future_growth_median_m,actual_horizon_median_seconds,alignment_rotation_det,alignment_translation_norm_m,odi_risk_spearman,ais_risk_spearman,lambda_min_risk_spearman,condition_risk_spearman,lambda_ratio_risk_spearman,entropy_risk_spearman,effective_rank_risk_spearman
-1.45,False,False,1707,1.321390592431751,278,-0.2822398743689926,5.053713321685791,0.9999999999999996,0.8468105211323115,-0.34703817242002366,-0.3216369957486904,-0.34005254163968224,-0.34960409452803426,-0.34960409452803426,-0.34703817242002366,-0.34703817242002366
-1.4,False,False,1707,1.2858847639160023,278,-0.26880867351578513,5.053713321685791,1.0,0.8237329419439554,-0.34622996839514525,-0.32096954321950616,-0.339580577298962,-0.34908297887135725,-0.34908297887135725,-0.34622996839514525,-0.34622996839514525
-1.35,False,False,1708,1.250297889800562,278,-0.24881780896743,5.053663492202759,0.9999999999999982,0.8005313411743731,-0.34473476302223616,-0.3196876992408635,-0.33833727242033085,-0.3477413713608128,-0.3477413713608128,-0.34473476302223616,-0.34473476302223616
-1.3,False,False,1708,1.2147483223832711,278,-0.25083688806244414,5.053663492202759,0.9999999999999999,0.7796632810966209,-0.3432686016087561,-0.3182969404143623,-0.33732240945336195,-0.34665669118367815,-0.34665669118367815,-0.3432686016087561,-0.3432686016087561
-1.25,False,False,1709,1.1791325349710589,278,-0.2500907683455994,5.053613662719727,1.0000000000000009,0.7588181162056293,-0.34209567247797196,-0.31745019728947244,-0.33631983431538215,-0.345682601467446,-0.345682601467446,-0.34209567247797196,-0.34209567247797196
-1.2,False,False,1709,1.1435760967137585,278,-0.2567129082602811,5.053613662719727,1.0000000000000009,0.7405389430182227,-0.3420359089460701,-0.3177534832504323,-0.3368163743140808,-0.34604732657335174,-0.34604732657335174,-0.3420359089460701,-0.3420359089460701
-1.15,False,False,1710,1.107952069186152,278,-0.25355730410015576,5.053606748580933,1.0000000000000002,0.7224929892240388,-0.3401005758802763,-0.3162409632094022,-0.3357166136195504,-0.3446783507164223,-0.3446783507164223,-0.3401005758802763,-0.3401005758802763
-1.1,False,False,1710,1.072409902278512,278,-0.25693518981035446,5.053606748580933,0.9999999999999988,0.7071905377450489,-0.3389840590553061,-0.3156578498700981,-0.33543790331656875,-0.34405949096551336,-0.34405949096551336,-0.3389840590553061,-0.3389840590553061
-1.05,False,False,1711,1.0368171779944322,278,-0.2563525360325934,5.053599834442139,1.000000000000001,0.6922864876290283,-0.33800382542457935,-0.31505239502354093,-0.3351061319338613,-0.3434841971537478,-0.3434841971537478,-0.33800382542457935,-0.33800382542457935
-1.0,False,False,1711,1.001342128922109,278,-0.25731734025496344,5.053599834442139,1.0,0.680385719316712,-0.33656279820675883,-0.3139632465449557,-0.3346285822163278,-0.34283852759413525,-0.34283852759413525,-0.33656279820675883,-0.33656279820675883
-0.95,False,False,1712,0.9658291461143546,278,-0.25825780732451004,5.053529143333435,1.0,0.6689988830061351,-0.3342610644220154,-0.3119664743342161,-0.33316242080284764,-0.3411623560124765,-0.3411623560124765,-0.3342610644220154,-0.3342610644220154
-0.9,False,False,1712,0.9304847130573869,278,-0.2548127378162118,5.053529143333435,0.9999999999999989,0.6608753593484102,-0.33277647126505155,-0.31045674698159254,-0.33215090906196665,-0.34029997383250954,-0.34029997383250954,-0.33277647126505155,-0.33277647126505155
-0.85,False,False,1713,0.8951242986604934,278,-0.2514751071041866,5.0534584522247314,1.000000000000001,0.6533384504281674,-0.33037866899912005,-0.3084063551534456,-0.33090760418333554,-0.3389175930712284,-0.3389175930712284,-0.33037866899912005,-0.33037866899912005
-0.8,False,False,1713,0.8599713306688767,278,-0.24830419454113858,5.0534584522247314,1.0,0.6492439803946501,-0.32849025309855756,-0.306850269173272,-0.32964642609890193,-0.337559229430244,-0.337559229430244,-0.32849025309855756,-0.32849025309855756
-0.75,False,False,1714,0.8248495700630495,278,-0.24772384506926665,5.053447246551514,1.0000000000000004,0.6457796678838865,-0.3276591490287449,-0.30606161396724,-0.32924595458139133,-0.33735257048815354,-0.33735257048815354,-0.3276591490287449,-0.3276591490287449
-0.7,False,False,1714,0.7899908995844349,278,-0.24125858495461283,5.053447246551514,0.9999999999999996,0.6458788781880979,-0.32610641427465925,-0.30450720360011047,-0.32801773022015596,-0.33635334657626176,-0.33635334657626176,-0.32610641427465925,-0.32610641427465925
-0.65,False,False,1715,0.7552383119619994,278,-0.22401658984952189,5.053436040878296,0.9999999999999998,0.6465555810124499,-0.32309757178535725,-0.30209432081678317,-0.32570929398323656,-0.33403709081180377,-0.33403709081180377,-0.32309757178535725,-0.32309757178535725
-0.6,False,False,1715,0.7207895081130639,278,-0.20242912583394043,5.053436040878296,1.0000000000000002,0.6508234227970897,-0.3189275294565791,-0.29857832611283747,-0.32226479210250053,-0.33032281523098744,-0.33032281523098744,-0.3189275294565791,-0.3189275294565791
-0.55,False,False,1716,0.6865560958762936,278,-0.1838578618475492,5.0532989501953125,0.9999999999999993,0.6555412295398021,-0.3117815983616973,-0.29192614232824754,-0.3156427693527023,-0.3235203848101209,-0.3235203848101209,-0.3117815983616973,-0.3117815983616973
-0.5,False,False,1716,0.6527087194231681,278,-0.17752901360058057,5.0532989501953125,0.9999999999999996,0.6638012560679363,-0.30720549913859524,-0.28809233968362746,-0.31215246738209756,-0.3197871189481395,-0.3197871189481395,-0.30720549913859524,-0.30720549913859524
-0.45,False,False,1717,0.6192479551032601,278,-0.17396477459611331,5.053161859512329,0.9999999999999994,0.672382082445795,-0.30162682477751346,-0.2835642747011195,-0.30777353196050355,-0.3151473464293663,-0.3151473464293663,-0.30162682477751346,-0.30162682477751346
-0.4,False,False,1717,0.586284990265657,278,-0.1702370759652873,5.053161859512329,0.9999999999999986,0.6843581237508541,-0.2958437256250665,-0.2793071004940545,-0.30379395098105744,-0.3105840935729348,-0.3105840935729348,-0.2958437256250665,-0.2958437256250665
-0.35,False,False,1718,0.553963945406392,278,-0.1555423791039386,5.053136825561523,0.9999999999999999,0.6964138752893769,-0.2939938488245155,-0.27976733554346694,-0.3044870962435827,-0.310349507746778,-0.310349507746778,-0.2939938488245155,-0.2939938488245155
-0.3,False,False,1718,0.5222801506613465,278,-0.14285404861010942,5.053136825561523,0.9999999999999991,0.7117387975275369,-0.28424569067233696,-0.2724918237065175,-0.29666198332820876,-0.30162682477751346,-0.30162682477751346,-0.28424569067233696,-0.28424569067233696
-0.25,False,False,1719,0.4915650386345677,278,-0.12401860978660077,5.053111791610718,0.9999999999999998,0.727043682632675,-0.2690193949417152,-0.2595896032678922,-0.2831638031836089,-0.2872863698094744,-0.2872863698094744,-0.2690193949417152,-0.2690193949417152
-0.2,False,False,1719,0.4617656715457252,278,-0.10725199811238961,5.053111791610718,0.9999999999999997,0.745326600677778,-0.25353561334000224,-0.24622714777985458,-0.2685798257865118,-0.27169088067149627,-0.27169088067149627,-0.25353561334000224,-0.25353561334000224
-0.15,False,False,1719,0.43320744500331226,278,-0.09332718963198794,5.053111791610718,0.9999999999999998,0.7649979241194005,-0.24033122401577978,-0.23521892861860505,-0.25658746323076626,-0.2588283164082453,-0.2588283164082453,-0.24033122401577978,-0.24033122401577978
-0.1,False,False,1719,0.40615465930427974,278,-0.0736349504343092,5.053111791610718,1.0000000000000004,0.7858067458027221,-0.22620468897968848,-0.22376723053838282,-0.24354114007035899,-0.2450329942171801,-0.2450329942171801,-0.22620468897968848,-0.22620468897968848
-0.05,False,False,1719,0.3809351962996426,278,-0.05594293230328404,5.053111791610718,0.9999999999999998,0.8077911416496524,-0.20525394055315896,-0.2049595911951003,-0.22202515151032773,-0.22320757578169442,-0.22320757578169442,-0.20525394055315896,-0.20525394055315896
0.0,True,False,1719,0.35795646327948843,278,-0.03496600694670554,5.053111791610718,1.0000000000000004,0.8307277105748242,-0.17295426497977115,-0.1759882416647327,-0.18809175321906207,-0.18844419049597866,-0.18844419049597866,-0.17295426497977115,-0.17295426497977115
0.05,False,False,1719,0.3376631136151896,278,-0.01868919919478143,5.053111791610718,0.9999999999999992,0.8546629319369182,-0.10974455558413404,-0.11591918965119041,-0.1225300416473622,-0.12129846606003887,-0.12129846606003887,-0.10974455558413404,-0.10974455558413404
0.1,False,False,1719,0.3206098334842919,278,-0.006264079242780718,5.053111791610718,1.0000000000000004,0.8794119317368577,0.02337619830768668,0.014555212706508835,0.015422063187926424,0.018499047274350075,0.018499047274350075,0.02337619830768668,0.02337619830768668
0.15,False,False,1718,0.3072276537864054,278,-0.0008480239655429267,5.053136825561523,1.0000000000000007,0.9049388808766573,0.2532892982225376,0.24429516594014875,0.25331834218196647,0.25696056640189185,0.25696056640189185,0.2532892982225376,0.2532892982225376
0.2,False,False,1718,0.29822065208015824,278,0.002781748519993049,5.053136825561523,1.0000000000000002,0.9312465317037493,0.49220211579659057,0.48492883811036647,0.5020368472893747,0.5071173060387139,0.5071173060387139,0.49220211579659057,0.49220211579659057
0.25,False,False,1717,0.29380343202522524,278,0.017222793816564774,5.053161859512329,1.0000000000000009,0.9582545185525075,0.5845378896603225,0.5726577931785235,0.5958762045912356,0.6031975165180538,0.6031975165180538,0.5845378896603225,0.5845378896603225
0.3,False,False,1717,0.29433337275306404,278,0.03471574360398025,5.053161859512329,0.9999999999999996,0.9858756952754999,0.6072569683859294,0.5935236438774915,0.6216923747597938,0.6291270698359211,0.6291270698359211,0.6072569683859294,0.6072569683859294
0.35,False,False,1716,0.29960213407936537,278,0.05449239666036966,5.0532989501953125,0.9999999999999998,1.0141482552449355,0.6030869260571512,0.5932248262179821,0.6258004194059449,0.6299933617796574,0.6299933617796574,0.6030869260571512,0.6030869260571512
