sequence_id,scene_family,trial_id,window_id,axis_drift_rate,weak_drift_alignment,ODI_median,AIS_median,lambda_min_clamped_median,condition_number_median,weak_alignment_median,path_length,risk_ODI,risk_low_AIS,risk_low_lambda,risk_high_condition,risk_weak_alignment,risk_low_motion,joint_risk_equal,joint_risk_spectral,joint_risk_information,joint_risk_odi_information,joint_risk_no_odi,joint_risk_motion_aware,applied_axis_bias,is_unbiased_protocol
RT-L4-S01-M1,RT,7,3,0.00321976745798,0.996282188912,0.728300101261,7.00518072382,0,2891632.76198,1,10.27027027,0.392410584472,0.92744984007,0.662838034312,0.392410584472,0.5,0.177231753417,0.593777260832,0.482553067752,0.660899486285,0.660899486285,0.539982553068,0.510468159349,0,true
RT-L4-S01-M1,RT,7,4,0.00187342265531,0.981552396369,0.72813515264,7.01249568789,0,2890939.86576,1,10.27027027,0.363332364059,0.735533585345,0.662838034312,0.264466414655,0.5,0.177231753417,0.506542599593,0.430212271009,0.554279344771,0.587234661239,0.460017446932,0.440680430358,0,true
RT-L4-S01-M1,RT,7,5,-0.000486613581592,0.921391949247,0.727874651458,7.00860271189,0,2890336.12677,1,10.27027027,0.328438499564,0.816952602501,0.662838034312,0.241203838325,0.5,0.177231753417,0.512358243675,0.410826790734,0.573664825046,0.602743045459,0.474556557139,0.445332945624,0,true
RT-L4-S01-M1,RT,7,6,-0.000775159834231,0.908458037273,0.728454264597,7.00611173536,0,2891499.86712,1,10.27027027,0.453474847339,0.878016865368,0.662838034312,0.340069787729,0.5,0.177231753417,0.583599883687,0.485460889794,0.626974895803,0.66477658234,0.514539110206,0.502326257633,0,true
RT-L4-S01-M1,RT,7,7,-0.000490238802644,0.585636221723,0.728454264597,7.00611173536,0,2891499.86712,1,10.27027027,0.453474847339,0.878016865368,0.662838034312,0.340069787729,0.5,0.177231753417,0.583599883687,0.485460889794,0.626974895803,0.66477658234,0.514539110206,0.502326257633,0,true
RT-L4-S01-M1,RT,7,8,0.000275029860534,0.57608171658,0.72868503422,7.00515448311,0,2891724.28241,1,10.27027027,0.607589415528,0.933265484152,0.662838034312,0.398226228555,0.5,0.177231753417,0.650479790637,0.556217892798,0.66477658234,0.734564311331,0.542890375109,0.555830183193,0,true
RT-L4-S01-M1,RT,7,9,0.000192002444723,0.728331251551,0.728329996589,7.00720276509,0,2891499.86712,1,10.270270271,0.415673160803,0.854754289038,0.662838034312,0.340069787729,0.5,0.0347484733934,0.56833381797,0.472860327615,0.619220703693,0.644421828051,0.473102646118,0.461616749055,0,true
RT-L4-S01-M1,RT,7,10,0.000616731968438,0.848851196497,0.728540882441,7.00720276509,0,2892406.46946,1,10.27027027,0.508723466124,0.854754289038,0.662838034312,0.531986042454,0.5,0.177231753417,0.639575457982,0.567849180963,0.683192788601,0.675438596491,0.556702529805,0.547106717069,0,true
RT-L4-S01-M1,RT,7,11,0.00220151246322,0.998204718876,0.728278424043,7.00760363538,0,2891942.36521,1,10.27027027,0.38659494039,0.840215178831,0.662838034312,0.43312009305,0.5,0.177231753417,0.580692061646,0.494184355917,0.645391102065,0.629882717844,0.528351264903,0.5,0,true
RT-L4-S01-M1,RT,7,12,0.00229080982089,0.997945558944,0.728325739891,7.01273924297,0,2892095.24537,1,10.270270271,0.40985751672,0.729717941262,0.662838034312,0.479645245711,0.5,0.0347484733934,0.570514684501,0.517446932248,0.624067073762,0.600804497431,0.47673742367,0.46336144228,0,true
