backend_input_checksum,correspondence_count,failure_reason,final_cost,final_transformation,finite_result,fitness,geometry_seed,initial_cost,initial_transformation,inlier_rmse,iteration_count,map_checksum,measurement_seed,noise_condition,reference_pose_checksum,registration_backend,repeat_index,rotation_error_deg,rotation_error_rad,rotation_x_rad,rotation_y_rad,rotation_z_rad,runtime_ms,scan_checksum,scene_variant,snapshot_id,solver_converged,solver_failure,termination_reason,translation_error_m,translation_x_m,translation_y_m,translation_z_m
ea93ff752323b8e47622c8ad304d04d8e3d69c065a620108103ca388a20221ce,44211,,0.7952660011334849,"[0.9999999996781523,1.3641534162551609e-05,-2.1391678201508237e-05,-0.0006787329592339845,-1.3642227112168753e-05,0.9999999993822719,-3.2393608704079796e-05,-0.00035067908968128264,2.139123628977421e-05,3.2393900523786325e-05,0.9999999992465252,1.4997241235619354,0.0,0.0,0.0,1.0]",True,,1850310744,0.7991819016828515,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,8b785fce000a6627d3d6d439ea312957c6f0d2cb2f64b2db3619aa688adc09bd,217775206,MAP_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0023575320896904,4.114669718652108e-05,3.239375462307377e-05,-2.139145725167736e-05,-1.3641880641209582e-05,5.317216000548797,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY,True,False,converged_step,0.0008122573871436,-0.0006787329592339,-0.0003506790896812,-0.0002758764380645
ea93ff752323b8e47622c8ad304d04d8e3d69c065a620108103ca388a20221ce,44214,,0.0393156826900086,"[0.9999999709782381,3.303800917949425e-05,0.000238646209263009,-0.0008050767200055607,-3.303621020276071e-05,0.9999999994258622,-7.542196206509992e-06,-0.00023371187519747113,-0.00023864645830514063,7.5343120212888665e-06,0.9999999714955508,1.499716374868607,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",0.0393156826900086,-1,8b785fce000a6627d3d6d439ea312957c6f0d2cb2f64b2db3619aa688adc09bd,217775206,MAP_NOISE_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,0.0138105827811343,0.00024104014115,7.538254186895296e-06,0.0002386463360949,-3.3037110011038753e-05,52.43841199990129,ace67de1e4ff978cd29c56f96a66c4a4777292ceabf7f583b319ed4cecb1f1d7,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::MAP_NOISE_ONLY,True,False,completed_finite_correspondences,0.0008849932094998,-0.0008050767200055,-0.0002337118751974,-0.0002836251313929
701c4f294f837ad8776bc390390bcdf6e287d1c688c17ed9a96439fcb9f88f39,43757,,0.7824175890074355,"[0.9999999996809698,1.4165740227355908e-05,-2.091392683483649e-05,-0.0006920787090189742,-1.4166353637489878e-05,0.999999999469522,-2.9330366025095713e-05,-0.0003662427797110826,2.091351133739623e-05,2.933066228982193e-05,0.9999999993511687,1.4997149264303613,0.0,0.0,0.0,1.0]",True,,1850310744,0.7865507552241958,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,DROPOUT_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0022178274799926,3.870839176708106e-05,2.9330514164783333e-05,-2.0913719091339e-05,-1.4166046935960484e-05,376.41454199911095,8cac379680166a4b855d8a0c643fe25f7156b52402b6e37f382cb7c20e2d1a09,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,True,False,converged_step,0.0008332908575488,-0.0006920787090189,-0.000366242779711,-0.0002850735696386
701c4f294f837ad8776bc390390bcdf6e287d1c688c17ed9a96439fcb9f88f39,43757,,0.7824605507341035,"[0.9999999996896956,1.3721221127868257e-05,-2.079271386716884e-05,-0.0006912563987883405,-1.3721869757694634e-05,0.9999999994192839,-3.119523217110028e-05,-0.00036849697359907257,2.079228581841542e-05,3.1195517476331854e-05,0.9999999992972602,1.4997115817654125,0.0,0.0,0.0,1.0]",True,,1850310744,0.7865507552241958,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,DROPOUT_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0022873579378189,3.992192718656824e-05,3.1195374832002393e-05,-2.079249984831517e-05,-1.3721545446426256e-05,4.276432999176905,8cac379680166a4b855d8a0c643fe25f7156b52402b6e37f382cb7c20e2d1a09,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,True,False,converged_step,0.0008347517633764,-0.0006912563987883,-0.000368496973599,-0.0002884182345874
701c4f294f837ad8776bc390390bcdf6e287d1c688c17ed9a96439fcb9f88f39,43765,,0.0392655014490977,"[0.9999999720049254,2.956902492173045e-05,0.00023476758929821462,-0.0008726563375920001,-2.9568085912960003e-05,0.9999999995548513,-4.0032074760025975e-06,-0.00024752935124534083,-0.00023476770756464976,3.996265735682559e-06,0.9999999724340763,1.4997089684130178,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",0.0392655014490977,-1,fb6a41a929c36a1f162248d610a2f4d0de4413447c8bb9c124e8000963841cfc,217775206,DROPOUT_ONLY,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,0.0135594002643879,0.0002366561792093,3.999736643177551e-06,0.0002347676506228,-2.956855569334871e-05,68.71637100084627,8cac379680166a4b855d8a0c643fe25f7156b52402b6e37f382cb7c20e2d1a09,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::DROPOUT_ONLY,True,False,completed_finite_correspondences,0.0009526275494067,-0.000872656337592,-0.0002475293512453,-0.0002910315869821
fd9ec88313ef16d2af6e85ec1531a33e56237692f72661525e4d32eae077de81,43794,,0.9859685509017512,"[0.9999999999334543,5.084136595674854e-06,-1.0355814674456415e-05,-0.0007024655745860228,-5.0845633361085595e-06,0.9999999991380157,-4.1208199568199595e-05,-0.00038950879485899416,1.03556051574144e-05,4.120825222025298e-05,0.9999999990973207,1.4997180132765444,0.0,0.0,0.0,1.0]",True,,1850310744,0.9900851693602312,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,3,5dfa3875dfc12332d3c365e56c175ffdb034644ff2397d36516ae6d645315ae0,217775206,FULL_NOISE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0024518371217765,4.279263049762217e-05,4.120822590680309e-05,-1.0355709919095986e-05,-5.084349967443458e-06,595.469273001072,007cb6bb8aa0f2901bafcc1d54d0091205f9907a505f66fb53f44128df4df29a,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,True,False,converged_step,0.0008512881397953,-0.000702465574586,-0.0003895087948589,-0.0002819867234555
fd9ec88313ef16d2af6e85ec1531a33e56237692f72661525e4d32eae077de81,43794,,0.9857628821272748,"[0.9999999999528433,7.049854308875526e-06,-6.679293917687033e-06,-0.0007194625292790331,-7.050139860532807e-06,0.9999999990612505,-4.275271404217257e-05,-0.00038602549955201533,6.678992511011543e-06,4.275276113011278e-05,0.9999999990637962,1.499715966055096,0.0,0.0,0.0,1.0]",True,,1850310744,0.9900851693602312,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,2,5dfa3875dfc12332d3c365e56c175ffdb034644ff2397d36516ae6d645315ae0,217775206,FULL_NOISE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0025119543915459,4.384187479240828e-05,4.275273759983859e-05,-6.679143216488964e-06,-7.049997086962645e-06,5.767492000813945,007cb6bb8aa0f2901bafcc1d54d0091205f9907a505f66fb53f44128df4df29a,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,True,False,converged_step,0.000864475158231,-0.000719462529279,-0.000386025499552,-0.0002840339449039
fd9ec88313ef16d2af6e85ec1531a33e56237692f72661525e4d32eae077de81,43797,,0.0396555499204402,"[0.9999999705670128,3.0480665963314317e-05,0.00024070085661481591,-0.0007845217050135115,-3.0479657809693842e-05,0.9999999995267084,-4.19207607232122e-06,-0.00027587654704288255,-0.00024070098427816475,4.184739469191778e-06,0.9999999710227617,1.4997274123154032,0.0,0.0,0.0,1.0]",True,1.0,1850310744,,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",0.0396555499204402,-1,5dfa3875dfc12332d3c365e56c175ffdb034644ff2397d36516ae6d645315ae0,217775206,FULL_NOISE,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,open3d_full,0,0.0139033515550567,0.000242659261698,4.188407811861196e-06,0.0002407009228087,-3.048016218563394e-05,64.48505899970769,007cb6bb8aa0f2901bafcc1d54d0091205f9907a505f66fb53f44128df4df29a,GEOMETRY_RICH_ROOM,dev::GEOMETRY_RICH_ROOM::g1850310744::m217775206::r00::FULL_NOISE,True,False,completed_finite_correspondences,0.0008751492562068,-0.0007845217050135,-0.0002758765470428,-0.0002725876845968
1fe54094e3c15801b0340686b6cbe80784e8fa32758558e7741c1c87ea7f163d,47818,,1.8228909287069848,"[0.9999999999957804,-2.9038390273988185e-06,-8.343027875020565e-08,0.237706172746445,2.903847694559433e-06,0.99999999458013,0.00010407356803420959,0.00017361139632866696,8.312806540944601e-08,-0.00010407356827603925,0.9999999945843427,1.5002000619353524,0.0,0.0,0.0,1.0]",True,,1850310744,0.3226421923340457,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,10,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,217775206,IDEAL_MATCHED,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_full,0,0.0059652988068795,0.0001041141050453,-0.0001040735683431,-8.327917223028003e-08,2.9038433662252803e-06,1446.8588769996131,573d3845f7b85fd10b4fae87b94f51ed9dcb9e3e0e78c71d7f0d842d9406e67d,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,True,False,converged_step,0.2377063203355301,0.237706172746445,0.0001736113963286,0.0002000619353523
1fe54094e3c15801b0340686b6cbe80784e8fa32758558e7741c1c87ea7f163d,47818,,0.3119921764148324,"[0.9999999999863904,3.058724832568242e-06,4.226505087333203e-06,0.04395315461582898,-3.058632546052595e-06,0.9999999997569384,-2.1835017800357783e-05,0.00013991961694254478,-4.226571873617068e-06,2.1835004872734605e-05,0.9999999997526843,1.500072074820725,0.0,0.0,0.0,1.0]",True,,1850310744,0.3226421923340457,"[1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,1.0]",,7,c58b185c2a48ae6373907aef708939a1571a34607f7ebf8bf30bb3805984c6bd,217775206,IDEAL_MATCHED,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,native_frozen,0,0.0012862702959289,2.244965173456255e-05,2.1835011338380288e-05,4.226538480830155e-06,-3.058678689567341e-06,10.468783999385778,573d3845f7b85fd10b4fae87b94f51ed9dcb9e3e0e78c71d7f0d842d9406e67d,LONG_CORRIDOR,dev::LONG_CORRIDOR::g1850310744::m217775206::r00::IDEAL_MATCHED,True,False,converged_step,0.0439534364181227,0.0439531546158289,0.0001399196169425,7.207482072502103e-05
