scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,translation_repeatability_covariance,translation_repeatability_rms_m,rotation_repeatability_covariance,rotation_repeatability_rms_rad,translation_error_median_m,translation_error_iqr_m,translation_error_q95_m,rotation_error_median_rad,rotation_error_iqr_rad,rotation_error_q95_rad
END_FACE_TRANSITION_PRESENT,1850310744,FULL_NOISE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0008949460592037,0.0,0.0008949460592037,4.076524493909842e-05,0.0,4.076524493909842e-05
END_FACE_TRANSITION_PRESENT,1850310744,FULL_NOISE,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0012093213814742,0.0,0.0012093213814742,0.0003808953073477,0.0,0.0003808953073477
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0005820627206115,0.0,0.0005820627206115,0.0001518896457996,0.0,0.0001518896457996
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0017005735649127,0.0,0.0017005735649127,0.0002001249413557,0.0,0.0002001249413557
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,9.352690538435496e-19,0.0,9.352690538435496e-19,6.27156839240814e-20,0.0,6.27156839240814e-20
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007339111406818,0.0,0.0007339111406818,6.019653742344943e-05,0.0,6.019653742344943e-05
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007118426474489,0.0,0.0007118426474489,5.9404389527978696e-05,0.0,5.9404389527978696e-05
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.001229858396579,0.0,0.001229858396579,0.0002829353224428,0.0,0.0002829353224428
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,native_frozen,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007670124947487,0.0,0.0007670124947487,7.15860850079482e-05,0.0,7.15860850079482e-05
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,native_full,1,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,"[[0.0,0.0,0.0],[0.0,0.0,0.0],[0.0,0.0,0.0]]",0.0,0.0007811755588273,0.0,0.0007811755588273,7.15664224258027e-05,0.0,7.15664224258027e-05
