scene_variant,geometry_seed,noise_condition,registration_backend,trial_count,mean_translation_x_m,mean_translation_y_m,mean_translation_z_m,systematic_translation_offset_m,mean_rotation_x_rad,mean_rotation_y_rad,mean_rotation_z_rad,systematic_rotation_offset_rad,systematic_fraction_translation
END_FACE_TRANSITION_ABSENT,1850310744,SCAN_NOISE_ONLY,native_frozen,1,-0.0902407699667097,0.0006790162523658,2.7825768026845665e-05,0.09024332884778219,-7.020400768533691e-05,2.8551577996509327e-06,-1.6785820802127605e-07,7.02622430436273e-05,1.0
END_FACE_TRANSITION_ABSENT,1850310744,SCAN_NOISE_ONLY,native_full,1,0.2354146754714607,0.000526107495013,1.4903155586054597e-05,0.23541526381807426,0.0002038498037773,3.1032289425644792e-06,-1.5084579409109661e-07,0.0002038734786193812,1.0
END_FACE_TRANSITION_ABSENT,1850310744,SCAN_NOISE_ONLY,open3d_full,1,-0.02002208541714,0.0013871339667266,-0.0002976716731526,0.02007228570736015,-0.0001894874360655,1.7799565419564117e-06,6.782077119034214e-07,0.00018949700957447506,1.0
END_FACE_TRANSITION_PRESENT,1850310744,DROPOUT_ONLY,native_frozen,1,-0.0007355599634684,2.159723994661587e-05,-0.0001862599411708,0.000759083438309581,6.145740136169867e-05,2.2998821691620973e-06,1.1199383780392792e-06,6.151061617392201e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,DROPOUT_ONLY,native_full,1,-0.0007126666558072,2.3259505025805543e-05,-0.0001853627574115,0.0007367456268676851,6.065765727040068e-05,2.247788116685452e-06,1.230045879956462e-06,6.071175297928485e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,DROPOUT_ONLY,open3d_full,1,0.0002939745983914,-0.001105747680773,0.000458095421818,0.0012324570635624044,-0.0002853891490415,-8.844274536721474e-07,4.199244160334868e-06,0.0002854214116951817,1.0
END_FACE_TRANSITION_PRESENT,1850310744,FULL_NOISE,native_frozen,1,-0.0008495920454232,2.066610149465922e-05,-0.0001561132158576,0.0008640631154972221,4.183610770536223e-05,1.5580796335445413e-06,-3.565638839397198e-08,4.18651261965991e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,FULL_NOISE,native_full,1,-0.0008807791840241,2.106355806574835e-05,-0.0001572030673864,0.0008949460592037051,4.07380084804871e-05,1.489576539900463e-06,-3.19643587292954e-08,4.076524493909842e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,FULL_NOISE,open3d_full,1,-3.938960817818644e-05,-0.0010820300477791,0.0005386256939299,0.0012093213814742296,-0.0003808833340216,-2.484472325699876e-06,1.7170967794370145e-06,0.00038089530734769733,1.0
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,native_frozen,1,-0.000549182867776,0.0001208897912562,-0.000150269247809,0.000582062720611552,0.0001518706155546,2.3432629821932843e-06,5.382850357548477e-07,0.00015188964579956248,1.0
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,native_full,1,-0.0016827928261461,0.0001558226700725,-0.0001894150190526,0.0017005735649127322,0.000200121146588,6.450725956860057e-07,-1.0501058421026953e-06,0.00020012494135571686,1.0
END_FACE_TRANSITION_PRESENT,1850310744,IDEAL_MATCHED,open3d_full,1,-9.297517049275928e-19,1.0143949064167685e-19,0.0,9.352690538435496e-19,6.259429754358137e-20,3.89960172392907e-21,-6.349398094720716e-23,6.27156839240814e-20,
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,-0.0007110844616597,2.262099702770452e-05,-0.0001802019458729,0.0007339111406817398,6.013938889595452e-05,2.41549289526335e-06,1.020987300029988e-06,6.019653742344943e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,-0.000688460539612,2.425902222418699e-05,-0.0001793140818922,0.0007118426474488323,5.934658625905839e-05,2.3639592431867244e-06,1.1295535775333665e-06,5.9404389527978696e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,INDEPENDENT_NOISE_FREE,open3d_full,1,0.0003040288195861,-0.0010993769677798,0.0004598787179377,0.00122985839657891,-0.0002829039616004,-6.490236479180317e-07,4.162206741592125e-06,0.000282935322442879,1.0
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,native_frozen,1,-0.0007446511291658,2.595776388043506e-05,-0.0001820138935,0.0007670124947486858,7.150637182343424e-05,3.3614198637667675e-06,3.2743230358523005e-07,7.15860850079482e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,native_full,1,-0.0007590689413581,2.65618613950814e-05,-0.0001826035692256,0.0007811755588273398,7.148501850320981e-05,3.3917579028681447e-06,3.75402121088419e-07,7.15664224258027e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,MAP_NOISE_ONLY,open3d_full,1,0.0001547579859915,-0.001083179748135,0.0004442802719806,0.0011809374924478871,-0.000286453209334,-1.2455529784742915e-06,3.7021841664563617e-06,0.00028647983996709606,1.0
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,native_frozen,1,-0.0007417063611911,1.3194213457680176e-05,-0.0001881447299851,0.0007653109517844857,6.69068080615336e-05,2.5910003144926474e-06,2.6379731690798777e-06,6.700890351328983e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,native_full,1,-0.0007517760472513,1.3639778184417596e-05,-0.0001888267803507,0.0007752475873856818,6.567940924593047e-05,2.6480843567129787e-06,2.661513110539516e-06,6.578663087354647e-05,1.0
END_FACE_TRANSITION_PRESENT,1850310744,SCAN_NOISE_ONLY,open3d_full,1,0.0002909955739184,-0.0010952256673153,0.0005379620941079,0.0012544325016051283,-0.0003532137013289,-1.1135327249683996e-06,4.86037208063571e-06,0.00035324889522594856,1.0
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,native_frozen,1,0.0097536655677235,0.0010673734809387,-0.0010090431970264,0.00986364265006957,0.0001853243186689,6.386562992570763e-07,6.227552165336057e-07,0.00018532646544954203,1.0
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,native_full,1,0.0003325711235926,0.001057863963038,-0.0010080653927837,0.0014986245536058266,0.0001894717896045,7.040457813333239e-07,4.821797925721852e-07,0.00018947371119431447,1.0
END_FACE_TRANSITION_WEAK,1850310744,DROPOUT_ONLY,open3d_full,1,-0.0028491879500964,0.0005214058871665,-0.000103232258158,0.002898343142774991,-0.0004662612855841,-2.0532849766521682e-07,-7.299497356585859e-07,0.0004662619021761763,1.0
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,native_frozen,1,-0.0138588411677369,0.0010608131236001,-0.0011244845235869,0.013944793596161534,0.0002466541637667,-2.910806322749554e-06,2.882063512562834e-06,0.0002466881748016898,1.0
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,native_full,1,-0.0404382306925501,0.0010023767241234,-0.0013092980165603,0.040471836157223384,-1.808486578291077e-05,-3.3476707565590057e-06,2.285780911924505e-06,1.8533592858847837e-05,1.0
END_FACE_TRANSITION_WEAK,1850310744,FULL_NOISE,open3d_full,1,-0.002210584875901,0.0005552305673263,-7.148470480689006e-05,0.0022803676325270565,-0.0004614513505357,-3.3142033840276022e-06,3.856739701807803e-07,0.0004614634130672804,1.0
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,native_frozen,1,-0.0116650393429972,-0.0002873378899984,-0.0001287763615831,0.011669288293979367,0.0001566042234245,1.5926873495102592e-06,-5.727189672114358e-06,0.00015671700657211515,1.0
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,native_full,1,-0.0604848373583927,-0.0001235380755701,0.0002761949185134,0.06048559411595744,-5.262243404734987e-05,-2.692091482858697e-07,-2.636415564911913e-07,5.262378307859971e-05,1.0
END_FACE_TRANSITION_WEAK,1850310744,IDEAL_MATCHED,open3d_full,1,4.803225393085431e-18,-8.560963115560422e-19,0.0,4.8789215069972746e-18,-7.668892305034018e-19,-6.620303953839115e-22,-2.257825303370758e-22,7.668895494946421e-19,
END_FACE_TRANSITION_WEAK,1850310744,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0098564665578198,0.0010631520298497,-0.001006583319316,0.009964609135471338,0.0001852198785635,2.662411427068438e-07,2.060890294716868e-07,0.00018522018456991078,1.0
END_FACE_TRANSITION_WEAK,1850310744,INDEPENDENT_NOISE_FREE,native_full,1,0.0003098421382353,0.0010538526147027,-0.0010055248643621,0.001489190295762217,0.0001896432150486,3.37328931452493e-07,5.2352290448381216e-08,0.00018964352228731634,1.0
