backend_input_checksum,dropout_checksum,geometry_seed,map_checksum,map_point_count,map_point_count_before_dropout,measurement_seed,noise_checksum,noise_condition,primitive_count,reference_pose_checksum,repeat_index,scan_checksum,scan_point_count,scan_point_count_before_dropout,scene_checksum,scene_variant,snapshot_id
75243ec6f8840bee414a258b35482fbff437cda3c6c86cfbc4bba9694d162755,94df6c766f09a76a358d501adb881209e9c7931336ad5c28da26cd881f1e1ed2,1850310744,dcb922399af273dad25f3a0acf570744da984e8f3b50f6b68e739c91bed5d956,48723,48723,217775206,a2f599f603d95ef5d850a33dfaec3f98c882449f81a3b374ab7faa24aaab43cc,SCAN_NOISE_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,36ac685f09392b9cf8f1fb09e56bbaaaf53fbcabf9c686d1049271e32671aa50,48730,48730,2e4620ab7d91dbddec10256ce5145eeb857c79c87f4b5a36f2ce8ec7e07d7deb,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::SCAN_NOISE_ONLY
a384c56d8fe40df33a476eaeca5897effde3dd71f31c28a2f063295761f97ba8,94df6c766f09a76a358d501adb881209e9c7931336ad5c28da26cd881f1e1ed2,1850310744,af473cc5611d1a329dbe79b36b0d941ce4119cf7ec2d51893981e9ee37a092b0,48723,48723,217775206,d80e1f136b11e14e2f8de870de7791245ae7617d7da11911b84ab3e0a72af0c7,MAP_NOISE_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,2af0b5f5872d2bff43f147e1e2df1fcb7af58d147c044e91097b166743c0e584,48730,48730,2e4620ab7d91dbddec10256ce5145eeb857c79c87f4b5a36f2ce8ec7e07d7deb,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::MAP_NOISE_ONLY
b79719bbb78d81adbf89fdea2584dfbac997033ebf953956fde2eb06a24873fb,185377b1ceee4d42eddf8f4563f84c8abff0578e81cdadddeba692e4d7149569,1850310744,dcb922399af273dad25f3a0acf570744da984e8f3b50f6b68e739c91bed5d956,48723,48723,217775206,35b461760a6aa4ac053a6ed9700222ccfdc5ca099a309e93bffeb9bf67d11671,DROPOUT_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,9ccd6d45b4aa565f0fa64a81110be81b9079a92341fe266e7b0b283f2e94cac6,48201,48730,2e4620ab7d91dbddec10256ce5145eeb857c79c87f4b5a36f2ce8ec7e07d7deb,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::DROPOUT_ONLY
33e309a231204b7ab91fc2427b09a0fe1d016077a2272fc6313d86c7a80ad687,c8b0d734b7908ff18ae5ced7b75e42fe9828dc12a04bd1959dbc3313733fdbef,1850310744,1d344fc0b4b3c8b87c6e7a2cb257588d010874ffd739bf4d875ed2f2197c2261,48723,48723,217775206,775303306ed9f17544243da2c1aa461dbf3dad7d0f9e44e6a33f1f3a3c38cd4d,FULL_NOISE,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,d7e1000b2e563807dcfb466c4ca6b22764742e1f314938aaa6658edbc97ae0fa,48199,48730,2e4620ab7d91dbddec10256ce5145eeb857c79c87f4b5a36f2ce8ec7e07d7deb,END_FACE_TRANSITION_PRESENT,dev::END_FACE_TRANSITION_PRESENT::g1850310744::m217775206::r00::FULL_NOISE
1874e73063f6512394ce549dc55d52ea5c21d8aaec441f5dceb28ec08dbe0d3a,d56d9187b08d4cad60b1b4217bc662d15fd1ec1e2b656161009d8b77e3c46024,1850310744,f6ac351b2d218de62336778ca9daeca2c11f38894fb0ebc4cae4a1e872f9911b,47912,47912,217775206,ea90d07011b3b41314db72ab09700e572b2cc984154b3db8dacd5ac264da0541,IDEAL_MATCHED,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,5f5e1aaf685c320af12c3a0c50f0f41f3f25c693101390f510a41ae6a426e702,47912,47912,d06b74b42a7b69709dc219fb11e0f75041aeef77fcf4db6342f27b51b83c3f6e,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::IDEAL_MATCHED
9bf7189a7c0a8495298253b997e22372a2a751ef12db6b1be1cab770465e8317,d56d9187b08d4cad60b1b4217bc662d15fd1ec1e2b656161009d8b77e3c46024,1850310744,f6ac351b2d218de62336778ca9daeca2c11f38894fb0ebc4cae4a1e872f9911b,47912,47912,217775206,ea90d07011b3b41314db72ab09700e572b2cc984154b3db8dacd5ac264da0541,INDEPENDENT_NOISE_FREE,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,a6e3bc3d875b38890743f55155ed1863617a9c834a756599d6f6834c6bc4173e,47912,47912,1e377b0c8bd64162b4599cbf041d2a1bc70471600784b0a543f031415908497b,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE
dc113d847fbce0652b60960c20a6710a24ac7aa2b925ea36577dcac46da5b89b,d56d9187b08d4cad60b1b4217bc662d15fd1ec1e2b656161009d8b77e3c46024,1850310744,f6ac351b2d218de62336778ca9daeca2c11f38894fb0ebc4cae4a1e872f9911b,47912,47912,217775206,cb6dec1a9eb709822e537ebf60a29a5895b97859864aaf45275c0e28f3a68175,SCAN_NOISE_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,89c392eeb5bc54bbb9ff80fc8c3b1a5880afd38f5f4203194087358c6e3a662c,47912,47912,1e377b0c8bd64162b4599cbf041d2a1bc70471600784b0a543f031415908497b,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::SCAN_NOISE_ONLY
9d13299866255b15d834c343e276d7ba9605c269420dd37500298f52462c54ea,d56d9187b08d4cad60b1b4217bc662d15fd1ec1e2b656161009d8b77e3c46024,1850310744,bc36fa7cfd0a3074f7fb62f3826158aa98b012a6a80134fe3d58db589b3a12e7,47912,47912,217775206,b6f0ed4d8fc7d9c2f3d45dc6a00adeeac6cc2fdbf62d794ef3acdd10c7fbd263,MAP_NOISE_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,a6e3bc3d875b38890743f55155ed1863617a9c834a756599d6f6834c6bc4173e,47912,47912,1e377b0c8bd64162b4599cbf041d2a1bc70471600784b0a543f031415908497b,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::MAP_NOISE_ONLY
38e8b8efdc0248ef91975137f8616031d2f43bc7ef41d4961a50d3442fa5d5d2,3f796c54d679db82f7d7be7941f33d341494dc48f3b2d79a9d75cb8c08e582d5,1850310744,f6ac351b2d218de62336778ca9daeca2c11f38894fb0ebc4cae4a1e872f9911b,47912,47912,217775206,ea90d07011b3b41314db72ab09700e572b2cc984154b3db8dacd5ac264da0541,DROPOUT_ONLY,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,3f921483e10cc76853d781887a1269c3fcf207c011f5347e3e9d2c439018160b,47422,47912,1e377b0c8bd64162b4599cbf041d2a1bc70471600784b0a543f031415908497b,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::DROPOUT_ONLY
7bcbc33ca2b9d413f2f86a1c1a4a9b5004ee2701583fe9ae1127d549b0d2d9e8,7be21fc683445ec0970023af64574f6d11e0ac9eaf4c64ddc3f77f9bd2a876ee,1850310744,f727e13e5a6f3eebb534c11056ddc9405a3779f3b227082b6a38e6c61a55da3e,47912,47912,217775206,74777de656215084db2c09d38ccc55a8a9007d42ca03633a94ab0703b2ac1281,FULL_NOISE,5,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,b9aeb9861bb3f3db50fea27762cca70dd01095ffa53a55ba51a29be734674311,47425,47912,1e377b0c8bd64162b4599cbf041d2a1bc70471600784b0a543f031415908497b,END_FACE_TRANSITION_WEAK,dev::END_FACE_TRANSITION_WEAK::g1850310744::m217775206::r00::FULL_NOISE
904aef744f7c0ede3f4142e156be38a953a3e78c6e8446a3beaa449dbf0ab7fc,3048b65785e760967d9d42e5a5e110ae249d7a11bafc03d44431b2b0b0e2870e,1850310744,5b9f6aa36199af0375e5a5fd182497a86de5fc6f749ec44298755aebf4305336,47809,47809,217775206,e3c3b90f36f8d51699d1f23b288913ecbcb7ffcf85785b439e23c5596468bd3c,IDEAL_MATCHED,4,fbd9f078d7df255c76489939ee84731937c0239eec355c776e01b815b8445903,0,3ec74bfc48a7ad78ecfe6266090553ed2eee5efee185fcda8bf5cfeacca496f4,47809,47809,666590cdf9c4196510da7b9240609774b868f75917a70d4a3e233335609608a9,END_FACE_TRANSITION_ABSENT,dev::END_FACE_TRANSITION_ABSENT::g1850310744::m217775206::r00::IDEAL_MATCHED
