scene_variant,noise_condition,registration_backend,trial_count,endpoint_bin_width_translation_m_and_rotation_rad,descriptive_endpoint_bin_count,largest_endpoint_bin_fraction,formal_multi_attractor_claim_authorized
END_FACE_TRANSITION_ABSENT,SCAN_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,SCAN_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,SCAN_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,MAP_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,MAP_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,MAP_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,DROPOUT_ONLY,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,DROPOUT_ONLY,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,DROPOUT_ONLY,open3d_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,FULL_NOISE,native_full,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,FULL_NOISE,native_frozen,1,0.0001,1,1.0,False
END_FACE_TRANSITION_ABSENT,FULL_NOISE,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,IDEAL_MATCHED,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,IDEAL_MATCHED,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,IDEAL_MATCHED,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,INDEPENDENT_NOISE_FREE,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,INDEPENDENT_NOISE_FREE,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,INDEPENDENT_NOISE_FREE,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,SCAN_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,SCAN_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,SCAN_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,MAP_NOISE_ONLY,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,MAP_NOISE_ONLY,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,MAP_NOISE_ONLY,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,DROPOUT_ONLY,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,DROPOUT_ONLY,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,DROPOUT_ONLY,open3d_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,FULL_NOISE,native_full,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,FULL_NOISE,native_frozen,1,0.0001,1,1.0,False
REPEATED_STRUCTURE,FULL_NOISE,open3d_full,1,0.0001,1,1.0,False
