snapshot_id,scene_variant,geometry_seed,measurement_seed,repeat_index,noise_condition,registration_backend,translation_x_m,translation_y_m,translation_z_m,rotation_x_rad,rotation_y_rad,rotation_z_rad,translation_error_m,rotation_error_rad,rotation_error_deg,solver_failure
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::INDEPENDENT_NOISE_FREE,LONG_CORRIDOR,1850310744,217775206,0,INDEPENDENT_NOISE_FREE,open3d_full,0.1099693635746737,8.029722310218485e-05,0.0003717037599637,-0.000615509113869,1.337569158550667e-06,7.720274041244184e-07,0.1099700210800561,0.0006155110513819,0.0352661854878485,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,SCAN_NOISE_ONLY,native_full,-0.0053113527918571,-0.000104506448561,0.0003750325449172,6.244392007593701e-05,-2.03477125689122e-06,-2.6516899438469864e-06,0.0053256022652003,6.253331038795387e-05,0.0035828947642113,True
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,SCAN_NOISE_ONLY,native_frozen,0.0220991976282715,0.0001849412325557,0.0003855762331783,-0.0001060943698748,1.4956245460048442e-06,3.7622777872714985e-07,0.0221033347733887,0.0001061055783607,0.0060794018228644,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::SCAN_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,SCAN_NOISE_ONLY,open3d_full,0.1088866216715909,7.046198197519632e-05,0.0003692320425485,-0.0006185489226971,6.667803426137644e-07,9.099078626104829e-09,0.1088872704968048,0.0006185492821502,0.0354402632880572,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,MAP_NOISE_ONLY,native_full,-0.1597116144320695,0.0002320382581427,2.750033242504557e-05,-0.0001191669967484,3.62216230107248e-06,9.595661384481985e-07,0.1597117853588756,0.0001192258945907,0.0068311405687215,True
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,MAP_NOISE_ONLY,native_frozen,0.0322377619328173,7.495041311517768e-05,0.0004387947555597,-0.0001377492522378,1.4244386770371524e-06,2.1980264478275112e-06,0.0322408351758905,0.0001377741515593,0.0078938774103438,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::MAP_NOISE_ONLY,LONG_CORRIDOR,1850310744,217775206,0,MAP_NOISE_ONLY,open3d_full,0.1093646769073436,6.258256349878286e-05,0.0003711320719872,-0.0006286466516298,9.123855512439232e-07,1.7307423974698438e-06,0.1093653245349721,0.0006286496961918,0.036018974383975,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY,LONG_CORRIDOR,1850310744,217775206,0,DROPOUT_ONLY,native_full,-0.1467070041361453,0.0001847381817573,0.0001393925044907,-0.000302436126045,-2.9426304353319704e-06,-1.5629065441936958e-06,0.1467071866715092,0.0003024544793648,0.0173293651624335,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY,LONG_CORRIDOR,1850310744,217775206,0,DROPOUT_ONLY,native_frozen,0.0317535213879043,3.770990082774428e-05,0.0004370411916163,-9.990060175092802e-05,1.800437167265527e-06,1.3773412712766785e-06,0.0317565512543772,9.992631722008148e-05,0.0057253562389961,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::DROPOUT_ONLY,LONG_CORRIDOR,1850310744,217775206,0,DROPOUT_ONLY,open3d_full,0.1093907425737416,8.139124219797395e-05,0.0003713882562044,-0.0006158127155401,1.275477259988177e-06,8.376872393904754e-07,0.1093914032938867,0.0006158146061787,0.0352835778965529,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE,LONG_CORRIDOR,1850310744,217775206,0,FULL_NOISE,native_full,-0.1154507140963305,0.0004130645354098,-1.970104809045914e-05,-2.1683968175108422e-05,-5.224156949092694e-07,8.274867726145855e-07,0.1154514547149336,2.170603898310916e-05,0.0012436644236785,True
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE,LONG_CORRIDOR,1850310744,217775206,0,FULL_NOISE,native_frozen,0.0194906608861867,0.0002582061779926,0.0003558841345665,-8.92100722413648e-05,6.055681721344908e-07,2.7193607645853664e-06,0.0194956196548845,8.925356365484011e-05,0.0051138525039245,False
dev::LONG_CORRIDOR::g1850310744::m217775206::r00::FULL_NOISE,LONG_CORRIDOR,1850310744,217775206,0,FULL_NOISE,open3d_full,0.1105039265124263,0.0001009448831056,0.0003637726468639,-0.0006152827702784,1.0280773460581456e-06,1.2174887834950593e-06,0.1105045713763541,0.0006152848337343,0.0352532241713876,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED,PARALLEL_WALLS,1850310744,217775206,0,IDEAL_MATCHED,native_full,-0.0305457629096275,0.0002779994419748,0.0012375635849191,-1.6267684383933448e-05,3.569672717925944e-07,-5.381785751277889e-08,0.0305720865995049,1.6271689439335748e-05,0.0009322991304215,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED,PARALLEL_WALLS,1850310744,217775206,0,IDEAL_MATCHED,native_frozen,-0.0266956797625694,0.0001227447237642,0.0009740805666673,1.0350464242490598e-05,-2.868862689490633e-06,-1.7147013367315697e-06,0.0267137271305078,1.0876703721275895e-05,0.0006231892182433,False
dev::PARALLEL_WALLS::g1850310744::m217775206::r00::IDEAL_MATCHED,PARALLEL_WALLS,1850310744,217775206,0,IDEAL_MATCHED,open3d_full,-1.6397383060089592e-16,1.0908112813996412e-18,0.0,4.481161483205839e-19,9.573016660060556e-21,9.726850618849376e-22,1.6397745878986823e-16,4.482194453053982e-19,2.568108251169416e-17,False
