scene_variant,geometry_seed,measurement_seed,block_id,candidate_anchor,repeat_count,pair_count,median_pairwise_translation_m,q95_pairwise_translation_m,maximum_pairwise_translation_m,median_pairwise_rotation_rad,q95_pairwise_rotation_rad,maximum_pairwise_rotation_rad,cluster_count,multiple_attractors
END_FACE_TRANSITION_PRESENT,1107,2111,dev::END_FACE_TRANSITION_PRESENT::g1107::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_PRESENT,1107,2111,dev::END_FACE_TRANSITION_PRESENT::g1107::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1101,2101,dev::END_FACE_TRANSITION_WEAK::g1101::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.0013173898886329513,0.00261392751154118,0.0029735831668170447,2.4441761649597398e-05,3.779095879393385e-05,3.9387464601613963e-05,1,false
END_FACE_TRANSITION_WEAK,1101,2101,dev::END_FACE_TRANSITION_WEAK::g1101::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1101,2101,dev::END_FACE_TRANSITION_WEAK::g1101::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1101,2111,dev::END_FACE_TRANSITION_WEAK::g1101::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.00105676544457567,0.002092981179200502,0.002113381404944419,2.6921917241003042e-05,5.1904649518718476e-05,5.3754398073350894e-05,1,false
END_FACE_TRANSITION_WEAK,1101,2111,dev::END_FACE_TRANSITION_WEAK::g1101::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1101,2111,dev::END_FACE_TRANSITION_WEAK::g1101::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1103,2101,dev::END_FACE_TRANSITION_WEAK::g1103::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.02121061328338631,0.050473341639580026,0.057250936615627954,0.00012725258681751503,0.0006181940269642883,0.0006484542670321694,2,true
END_FACE_TRANSITION_WEAK,1103,2101,dev::END_FACE_TRANSITION_WEAK::g1103::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1103,2101,dev::END_FACE_TRANSITION_WEAK::g1103::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1103,2111,dev::END_FACE_TRANSITION_WEAK::g1103::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.032804366916475015,0.06375675217027803,0.0656075703466785,0.0003043568816715779,0.0007329481371892294,0.0008217957399341629,3,true
END_FACE_TRANSITION_WEAK,1103,2111,dev::END_FACE_TRANSITION_WEAK::g1103::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1103,2111,dev::END_FACE_TRANSITION_WEAK::g1103::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1107,2101,dev::END_FACE_TRANSITION_WEAK::g1107::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.019480567246384476,0.03233640654757279,0.03482577530251331,0.0002650348334010985,0.0005215880259958803,0.0005484065396195851,1,false
END_FACE_TRANSITION_WEAK,1107,2101,dev::END_FACE_TRANSITION_WEAK::g1107::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1107,2101,dev::END_FACE_TRANSITION_WEAK::g1107::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1107,2111,dev::END_FACE_TRANSITION_WEAK::g1107::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.022963198580103244,0.036216854207347465,0.03789754264691206,0.00018232003841487063,0.0004288582940704429,0.00048258988810577036,2,true
END_FACE_TRANSITION_WEAK,1107,2111,dev::END_FACE_TRANSITION_WEAK::g1107::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
END_FACE_TRANSITION_WEAK,1107,2111,dev::END_FACE_TRANSITION_WEAK::g1107::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1101,2101,dev::GEOMETRY_RICH_ROOM::g1101::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,7.669852204125239e-05,0.00011389421472296061,0.00012250722726894474,9.419629255165412e-06,1.3909637412795679e-05,1.4635688288142956e-05,1,false
GEOMETRY_RICH_ROOM,1101,2101,dev::GEOMETRY_RICH_ROOM::g1101::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1101,2101,dev::GEOMETRY_RICH_ROOM::g1101::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1101,2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,7.072866312012441e-05,9.964130785445298e-05,0.00010532007607897247,1.720681121500959e-05,3.1582467819418875e-05,3.466866955768731e-05,1,false
GEOMETRY_RICH_ROOM,1101,2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1101,2111,dev::GEOMETRY_RICH_ROOM::g1101::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1103,2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,5.8795174692028335e-05,7.68215722138941e-05,7.78689066743516e-05,1.5829498879106347e-05,2.4578167334064876e-05,2.64157553968012e-05,1,false
GEOMETRY_RICH_ROOM,1103,2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1103,2101,dev::GEOMETRY_RICH_ROOM::g1103::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1103,2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,6.0839735715534195e-05,7.987722403513016e-05,8.14626269549537e-05,1.513609912335454e-05,2.2878150305651064e-05,2.5720886506282934e-05,1,false
GEOMETRY_RICH_ROOM,1103,2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1103,2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1107,2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,4.621414221529107e-05,6.717745819752721e-05,6.938837750248228e-05,2.032488460546416e-05,3.2311263271287145e-05,3.927252360227966e-05,1,false
GEOMETRY_RICH_ROOM,1107,2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1107,2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1107,2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,5.449828748965809e-05,8.411966534498006e-05,8.78735513458724e-05,1.0490827834263041e-05,2.027708565032959e-05,2.3149053336504817e-05,1,false
GEOMETRY_RICH_ROOM,1107,2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
GEOMETRY_RICH_ROOM,1107,2111,dev::GEOMETRY_RICH_ROOM::g1107::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
LONG_CORRIDOR,1101,2101,dev::LONG_CORRIDOR::g1101::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.0023882764694946644,0.005366800219471921,0.0057089119033453635,8.19896216647451e-06,1.8231957269007354e-05,1.8454666262324218e-05,1,false
LONG_CORRIDOR,1101,2101,dev::LONG_CORRIDOR::g1101::m2101,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
LONG_CORRIDOR,1101,2101,dev::LONG_CORRIDOR::g1101::m2101,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
LONG_CORRIDOR,1101,2111,dev::LONG_CORRIDOR::g1101::m2111,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.0018160100635940361,0.003981543755767562,0.004467526225180977,2.61626248415592e-05,7.102600065705324e-05,7.377622068002932e-05,1,false
LONG_CORRIDOR,1101,2111,dev::LONG_CORRIDOR::g1101::m2111,GT_REFERENCE_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
LONG_CORRIDOR,1101,2111,dev::LONG_CORRIDOR::g1101::m2111,NOISE_FREE_FULL_SOLUTION_ANCHOR,5,10,0.0,0.0,0.0,0.0,0.0,0.0,1,false
LONG_CORRIDOR,1103,2101,dev::LONG_CORRIDOR::g1103::m2101,FULL_ZERO_SOLUTION_ANCHOR,5,10,0.0009487283980094314,0.0019380827297176173,0.0019733868594736625,2.1564691716585763e-05,6.618557116116606e-05,6.694726655168756e-05,1,false
