scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,full_anchor_pose,frozen_zero_pose,translation_distance_m,rotation_distance_rad,distance_eligible,full_zero_anchor_globally_valid,eligible_for_subsequent_comparison
END_FACE_TRANSITION_ABSENT,1107,2101,0,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101::r00,"[0.0,-0.014861199535708119,-0.00011999273949080137,1.4997040711881722,-6.468640537090771e-05,-2.0312910172199616e-06,1.8260808911745228e-07,0.9999999979057548]","[0.0,-0.020124961632710364,-8.03950805445969e-05,1.4997969404237126,-0.0001029339235904403,-1.6536923154532386e-06,2.672328935135636e-07,0.9999999947009006]",0.005264730200432055,7.649895169321035e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,1,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101::r01,"[0.0,-0.015497672235835468,-9.773374026741354e-05,1.4997417756617748,-5.324107164804859e-05,-3.3925589703130954e-07,3.0030557838451015e-07,0.9999999985825916]","[0.0,-0.02202963247361733,-5.354976647689642e-05,1.499847810792232,-9.012922368812964e-05,-8.89110551723216e-08,5.687821771737018e-07,0.9999999959381959]",0.006532970244872868,7.377995717817239e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,2,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101::r02,"[0.0,-0.015422135059628231,-0.00012374545816212144,1.49975086734751,-5.858990248567626e-05,-1.423913011186193e-06,-1.1484742919412468e-06,0.9999999982819384]","[0.0,-0.021130805963192844,-8.821959584886453e-05,1.499847351499075,-9.530660250449043e-05,-1.3056580052281956e-06,-1.2861948940813712e-06,0.9999999954566463]",0.005709596725128803,7.343429769844635e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,3,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101::r03,"[0.0,-0.015299608695085861,-0.00011283387819930857,1.4997717773472434,-7.266441702510064e-05,5.141207605661377e-07,-1.5181310199299743e-07,0.9999999973597976]","[0.0,-0.019716753991154322,-7.803228762680052e-05,1.4998592968553055,-0.00011108156895985223,3.7166182193534865e-07,-3.9863579032312296e-08,0.9999999938303727]",0.004418149316351534,7.683515868822137e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2101,4,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101,dev::END_FACE_TRANSITION_ABSENT::g1107::m2101::r04,"[0.0,-0.015332408198234705,-0.00012496324007924367,1.4997212500181134,-4.3997930241668125e-05,5.777661224297838e-07,1.5066495835266684e-06,0.9999999990307893]","[0.0,-0.02140213632945555,-8.851838701422852e-05,1.4998186329335306,-7.970523141128266e-05,8.796845719253526e-07,1.5980228496735491e-06,0.9999999968218743]",0.006070618687289108,7.141738907734627e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,0,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111::r00,"[0.0,-0.014962651529040449,-0.00014543240354223833,1.4997707657840458,-5.3711210380756464e-05,-5.18715245319356e-07,-2.032317747713767e-07,0.9999999985573979]","[0.0,-0.020451503355428155,-0.00011164884210518733,1.49986680905039,-8.945442189332895e-05,-6.579440482913016e-07,-1.4420476209744621e-07,0.9999999959987265]",0.005489795989840887,7.14870630187901e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,1,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111::r01,"[0.0,-0.015579435424902623,-0.0001314839554692877,1.4997164739359103,-5.725773040216205e-05,3.9385478246642513e-07,4.2199327801163867e-07,0.9999999983606097]","[0.0,-0.02241443886145061,-8.798324123362052e-05,1.4998240361770845,-9.545673716201253e-05,5.977336766459266e-07,6.649256250663616e-07,0.9999999954436061]",0.006835988145505244,7.640064682590599e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,2,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111::r02,"[0.0,-0.01469107351452756,-9.305666358600349e-05,1.4997412195415258,-5.54622111143544e-05,-1.3378564625744387e-06,-1.4127673974376376e-06,0.9999999984600788]","[0.0,-0.01982584214479885,-5.504906587276296e-05,1.499838068673817,-9.713936995862986e-05,-1.4410243559689322e-06,-1.3179182137412733e-06,0.9999999952800647]",0.005135822545447573,8.335478917678974e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,3,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111::r03,"[0.0,-0.015791700312327857,-0.00011004106440058137,1.4997545191450328,-6.67457955905648e-05,-9.252825645125914e-07,-1.3257275576278509e-06,0.9999999977711925]","[0.0,-0.019629099606488024,-7.717379958640218e-05,1.499847265398707,-0.00011378179281450483,-5.683768858135334e-07,-1.185646653481087e-06,0.9999999935259873]",0.0038386606345817945,9.407512014562398e-05,true,false,false
END_FACE_TRANSITION_ABSENT,1107,2111,4,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111,dev::END_FACE_TRANSITION_ABSENT::g1107::m2111::r04,"[0.0,-0.015384512192680364,-0.0001475502740680733,1.4997377492531934,-4.2874480193904466e-05,-1.2531530878163366e-06,-8.544715481929565e-07,0.9999999990797392]","[0.0,-0.021147625538188802,-0.00010866694122168235,1.49983605620077,-8.089127730212334e-05,-1.1153203003453191e-06,-8.725830368917646e-07,0.9999999967272981]",0.005764082893461243,7.603410271657992e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2101,0,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101::r00,"[0.0,0.004727566525281052,-0.0002672609544121758,1.4996419014370064,6.499808792141015e-05,1.4030125144294887e-06,4.835386875034934e-07,0.9999999978865233]","[0.0,0.003963045760550354,-0.00021723626139501118,1.4996578385920118,2.4942523873505746e-05,1.3042983439378243e-06,4.491380517993328e-07,0.9999999996879838]",0.0007663213833148218,8.011140100002617e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2101,1,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101::r01,"[0.0,0.004877915717649178,-0.0002753493410183774,1.499632584902924,6.705144947507255e-05,5.505078647408169e-07,7.178563534843184e-07,0.9999999977516425]","[0.0,0.0042267546551054665,-0.00021287020092132527,1.4996376669839526,2.0527061653477694e-05,-5.597818183726847e-08,1.1843647307623157e-06,0.999999999788617]",0.0006541713841707725,9.306135872863306e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2101,2,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101::r02,"[0.0,0.004684596667093856,-0.00030577759362429124,1.4996328872861242,6.819051735341069e-05,8.771984420729116e-07,-1.0410089545223165e-06,0.9999999976741001]","[0.0,0.004166101910074145,-0.0002508596908390506,1.4996388596112764,2.742049632484056e-05,2.301818642371995e-07,-1.014616924938449e-06,0.999999999623517]",0.0005214292452202716,8.15503266870674e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2101,3,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101::r03,"[0.0,0.004913119697403452,-0.0002997555736009854,1.4996409563507764,6.791763725232797e-05,4.664997868178441e-07,-1.1695300360999227e-06,0.9999999976928047]","[0.0,0.004279627142277175,-0.0002447487872681435,1.4996540743337636,2.9199253692810238e-05,3.947968709197119e-07,-1.5872858976577332e-06,0.9999999995723642]",0.0006360115135913338,7.744140728189317e-05,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2101,4,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101,dev::END_FACE_TRANSITION_PRESENT::g1101::m2101::r04,"[0.0,0.004799760015974498,-0.00030863628886309077,1.499638046579225,6.454803313117815e-05,1.7508363449198392e-07,-3.721963008017225e-07,0.9999999979166911]","[0.0,0.004019268968495751,-0.00024010917071065364,1.4996388477102018,9.99781661157053e-06,-2.540778078096964e-07,-1.9558505465675136e-07,0.9999999999499705]",0.0007834940222666614,0.00010910438118213473,true,false,false
END_FACE_TRANSITION_PRESENT,1101,2111,0,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111,dev::END_FACE_TRANSITION_PRESENT::g1101::m2111::r00,"[0.0,0.004701809942459138,-0.00026949227578801604,1.4996442289615892,6.880689302443361e-05,-8.027026244504833e-08,6.239136980371692e-07,0.9999999976326078]","[0.0,0.004012174827983811,-0.0002226008917187344,1.4996454273774,2.541689853400882e-05,-5.191550231874537e-07,3.1870198979171167e-07,0.9999999996768051]",0.0006912284927705062,8.678657500727554e-05,true,false,false
