scene_variant,geometry_seed,measurement_seed,repeat_index,block_id,base_snapshot_id,method,reference_cost,reference_gradient_norm,reference_gradient_norm_per_sqrt_correspondence,one_step_translation_m,one_step_rotation_rad,final_translation_shift_m,final_rotation_shift_rad,correspondence_changed,plane_fit_changed,deterministic_recheck_pass,reference_pose_not_registration_fixed_point
GEOMETRY_RICH_ROOM,1103,2111,2,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r02,frozen_jacobian,0.7498173745579503,6.82350163478972,0.03263302171725782,0.000321403375468644,3.103884715053274e-05,0.0003214687854393333,3.1041898737094847e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2111,3,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r03,full_reassociation,0.7427224579201286,9.451506320081979,0.04518271221826391,0.0002787209962712244,4.1660322843554825e-05,0.00027793315461857875,4.2931194884554105e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2111,3,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r03,frozen_jacobian,0.7427224579201286,9.451506320081979,0.04518271221826391,0.0002787209962712244,4.1660322843554825e-05,0.00027877651892040676,4.166720646938365e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1103,2111,4,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r04,full_reassociation,0.7442474249941613,6.409758052386125,0.030649759507421617,0.0003109983600502681,2.593826091850515e-05,0.0003039567321202015,2.537467824980564e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1103,2111,4,dev::GEOMETRY_RICH_ROOM::g1103::m2111,dev::GEOMETRY_RICH_ROOM::g1103::m2111::r04,frozen_jacobian,0.7442474249941613,6.409758052386125,0.030649759507421617,0.0003109983600502681,2.593826091850515e-05,0.000311061376161225,2.594100255459573e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2101,0,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r00,full_reassociation,0.8953747585191384,24.822378159868823,0.11868316114627796,0.0007571943542193825,9.152450139333934e-05,0.0007484343626776963,9.135900340179029e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2101,0,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r00,frozen_jacobian,0.8953747585191384,24.822378159868823,0.11868316114627796,0.0007571943542193825,9.152450139333934e-05,0.0007590437907079823,9.170229768851853e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2101,1,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r01,full_reassociation,0.9096379164844273,26.479453634869955,0.1265960021757607,0.0007794543645987029,9.692343945295942e-05,0.0007691681032589531,9.60022045913144e-05,true,true,true,true
GEOMETRY_RICH_ROOM,1107,2101,1,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r01,frozen_jacobian,0.9096379164844273,26.479453634869955,0.1265960021757607,0.0007794543645987029,9.692343945295942e-05,0.0007820749499159182,9.715280889828719e-05,false,false,true,true
GEOMETRY_RICH_ROOM,1107,2101,2,dev::GEOMETRY_RICH_ROOM::g1107::m2101,dev::GEOMETRY_RICH_ROOM::g1107::m2101::r02,full_reassociation,0.8912085733721314,24.894736100301383,0.11903184714106468,0.0007757054748088342,8.893015469012089e-05,0.0007709118453858758,8.793814418484227e-05,true,true,true,true
