sweep,level,stress,geometry_seed,sensor_seed,configured_burst_length_frames,contaminated_measurement_count,clean_unchanged,open_control_contamination_zero,axial_only,burst_duration_valid,variance_unchanged,invariant_observations_unchanged,locked_anchor_delta,shared_burst_start_frame,shared_burst_sign,shared_sign_valid,nominal_measurement_sigma_m,injected_slip_distance_m,injected_slip_sigma,slip_sigma_valid,subhuber_valid,selected_axial_patch_ids,contaminated_measurement_ratio,stress_mechanism_valid
observation,O3,coherent_subhuber_slip,4127,99,20,1119,True,True,True,True,True,True,True,10,1,True,0.02,0.03,1.5,True,True,axial_patch_04|axial_patch_03|axial_patch_09|axial_patch_11|axial_patch_15|axial_patch_02|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_13|axial_patch_00|axial_patch_07|axial_patch_10|axial_patch_08|axial_patch_05|axial_patch_14,0.145703125,True
observation,O3,clean,4127,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O3,coherent_subhuber_slip,4127,111,20,1100,True,True,True,True,True,True,True,2,1,True,0.02,0.03,1.5,True,True,axial_patch_00|axial_patch_07|axial_patch_12|axial_patch_15|axial_patch_06|axial_patch_11|axial_patch_03|axial_patch_10|axial_patch_04|axial_patch_09|axial_patch_01|axial_patch_02|axial_patch_05|axial_patch_08|axial_patch_14|axial_patch_13,0.14322916666666666,True
observation,O4,clean,4127,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4127,99,20,306,True,True,True,True,True,True,True,10,1,True,0.02,0.03,1.5,True,True,axial_patch_04|axial_patch_03|axial_patch_09|axial_patch_11|axial_patch_15|axial_patch_02|axial_patch_06|axial_patch_01|axial_patch_12|axial_patch_13|axial_patch_00|axial_patch_07|axial_patch_10|axial_patch_08|axial_patch_05|axial_patch_14,0.03984375,True
observation,O4,clean,4127,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4127,111,20,300,True,True,True,True,True,True,True,2,1,True,0.02,0.03,1.5,True,True,axial_patch_00|axial_patch_07|axial_patch_12|axial_patch_15|axial_patch_06|axial_patch_11|axial_patch_03|axial_patch_10|axial_patch_04|axial_patch_09|axial_patch_01|axial_patch_02|axial_patch_05|axial_patch_08|axial_patch_14|axial_patch_13,0.0390625,True
open_control,OC,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4253,99,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4253,111,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
geometry,L1,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4253,99,20,1920,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_10|axial_patch_13|axial_patch_03|axial_patch_02|axial_patch_05|axial_patch_07|axial_patch_06|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_12|axial_patch_11,0.1568627450980392,True
geometry,L1,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4253,111,20,1920,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_07|axial_patch_01|axial_patch_03|axial_patch_02|axial_patch_09|axial_patch_10|axial_patch_11|axial_patch_12|axial_patch_13|axial_patch_05|axial_patch_15|axial_patch_06,0.1568627450980392,True
geometry,L2,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L2,coherent_subhuber_slip,4253,99,20,1120,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_02|axial_patch_05|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_11,0.10526315789473684,True
geometry,L2,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L2,coherent_subhuber_slip,4253,111,20,1120,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_01|axial_patch_02|axial_patch_09|axial_patch_11|axial_patch_13|axial_patch_05|axial_patch_15,0.10526315789473684,True
geometry,L3,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L3,coherent_subhuber_slip,4253,99,20,480,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_13|axial_patch_05|axial_patch_11,0.05128205128205128,True
geometry,L3,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L3,coherent_subhuber_slip,4253,111,20,480,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_11|axial_patch_13|axial_patch_05,0.05128205128205128,True
geometry,L4,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L4,coherent_subhuber_slip,4253,99,20,160,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_05,0.01834862385321101,True
geometry,L4,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L4,coherent_subhuber_slip,4253,111,20,160,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_05,0.01834862385321101,True
observation,O1,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O1,coherent_subhuber_slip,4253,99,20,3061,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_10|axial_patch_13|axial_patch_03|axial_patch_02|axial_patch_05|axial_patch_07|axial_patch_06|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_12|axial_patch_08|axial_patch_00|axial_patch_04|axial_patch_14|axial_patch_11,0.3985677083333333,True
observation,O1,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O1,coherent_subhuber_slip,4253,111,20,3046,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_07|axial_patch_01|axial_patch_03|axial_patch_02|axial_patch_08|axial_patch_09|axial_patch_10|axial_patch_11|axial_patch_12|axial_patch_00|axial_patch_13|axial_patch_05|axial_patch_15|axial_patch_06|axial_patch_14|axial_patch_04,0.3966145833333333,True
observation,O2,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O2,coherent_subhuber_slip,4253,99,20,2376,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_10|axial_patch_13|axial_patch_03|axial_patch_02|axial_patch_05|axial_patch_07|axial_patch_06|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_12|axial_patch_08|axial_patch_00|axial_patch_04|axial_patch_14|axial_patch_11,0.309375,True
observation,O2,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O2,coherent_subhuber_slip,4253,111,20,2356,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_07|axial_patch_01|axial_patch_03|axial_patch_02|axial_patch_08|axial_patch_09|axial_patch_10|axial_patch_11|axial_patch_12|axial_patch_00|axial_patch_13|axial_patch_05|axial_patch_15|axial_patch_06|axial_patch_14|axial_patch_04,0.3067708333333333,True
observation,O3,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O3,coherent_subhuber_slip,4253,99,20,1080,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_10|axial_patch_13|axial_patch_03|axial_patch_02|axial_patch_05|axial_patch_07|axial_patch_06|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_12|axial_patch_08|axial_patch_00|axial_patch_04|axial_patch_14|axial_patch_11,0.140625,True
observation,O3,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O3,coherent_subhuber_slip,4253,111,20,1091,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_07|axial_patch_01|axial_patch_03|axial_patch_02|axial_patch_08|axial_patch_09|axial_patch_10|axial_patch_11|axial_patch_12|axial_patch_00|axial_patch_13|axial_patch_05|axial_patch_15|axial_patch_06|axial_patch_14|axial_patch_04,0.14205729166666667,True
observation,O4,clean,4253,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4253,99,20,299,True,True,True,True,True,True,True,11,1,True,0.02,0.03,1.5,True,True,axial_patch_10|axial_patch_13|axial_patch_03|axial_patch_02|axial_patch_05|axial_patch_07|axial_patch_06|axial_patch_01|axial_patch_15|axial_patch_09|axial_patch_12|axial_patch_08|axial_patch_00|axial_patch_04|axial_patch_14|axial_patch_11,0.03893229166666667,True
observation,O4,clean,4253,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
observation,O4,coherent_subhuber_slip,4253,111,20,279,True,True,True,True,True,True,True,5,1,True,0.02,0.03,1.5,True,True,axial_patch_07|axial_patch_01|axial_patch_03|axial_patch_02|axial_patch_08|axial_patch_09|axial_patch_10|axial_patch_11|axial_patch_12|axial_patch_00|axial_patch_13|axial_patch_05|axial_patch_15|axial_patch_06|axial_patch_14|axial_patch_04,0.036328125,True
open_control,OC,clean,4373,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4373,99,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,clean,4373,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
open_control,OC,coherent_subhuber_slip,4373,111,20,0,True,True,True,True,True,True,True,-1,0,True,0.0,0.0,0.0,True,True,,0.0,True
geometry,L1,clean,4373,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4373,99,20,1920,True,True,True,True,True,True,True,7,1,True,0.02,0.03,1.5,True,True,axial_patch_01|axial_patch_03|axial_patch_12|axial_patch_11|axial_patch_02|axial_patch_15|axial_patch_13|axial_patch_09|axial_patch_08|axial_patch_14|axial_patch_04|axial_patch_00,0.1568627450980392,True
geometry,L1,clean,4373,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L1,coherent_subhuber_slip,4373,111,20,1920,True,True,True,True,True,True,True,14,-1,True,0.02,0.03,1.5,True,True,axial_patch_12|axial_patch_09|axial_patch_01|axial_patch_00|axial_patch_02|axial_patch_14|axial_patch_15|axial_patch_08|axial_patch_11|axial_patch_03|axial_patch_13|axial_patch_04,0.1568627450980392,True
geometry,L2,clean,4373,99,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
geometry,L2,coherent_subhuber_slip,4373,99,20,1120,True,True,True,True,True,True,True,7,1,True,0.02,0.03,1.5,True,True,axial_patch_03|axial_patch_12|axial_patch_02|axial_patch_15|axial_patch_13|axial_patch_14|axial_patch_04,0.10526315789473684,True
geometry,L2,clean,4373,111,0,0,True,True,True,True,True,True,True,-1,0,True,0.02,0.0,0.0,True,True,,0.0,True
